"","Word","OccurTotal","OccurNum","Freq_pm","Rating.Mean","Rating.SD","Dunno","agebin","agebin_small","logfreq","freqbin","wordlen","cvc","bin"
"15261","know",18,18,"5721.18",4.5,2.12,1,"(4,4.5]","(4.25,4.5]",3.75748561177143,"(3,4]",4,FALSE,"(4,4.5].(3,4].4"
"11068","from",21,21,"2039.06",4.44,2.24,1,"(4,4.5]","(4.25,4.5]",3.30943000522176,"(3,4]",4,FALSE,"(4,4.5].(3,4].4"
"16047","look",19,19,"1947.27",4.05,1.68,1,"(4,4.5]","(4,4.25]",3.28942617308161,"(3,4]",4,FALSE,"(4,4.5].(3,4].4"
"23850","say",19,19,"1639.78",3.42,1.07,1,"(3,3.5]","(3.25,3.5]",3.21478558512387,"(3,4]",3,FALSE,"(3,3.5].(3,4].3"
"24219","see",18,18,"2556.73",3.06,1.43,1,"(3,3.5]","(3,3.25]",3.40768486736876,"(3,4]",3,FALSE,"(3,3.5].(3,4].3"
"18790","one",22,22,"3072.24",3.23,1.31,1,"(3,3.5]","(3,3.25]",3.48745513929058,"(3,4]",3,FALSE,"(3,3.5].(3,4].3"
"19010","out",21,21,"3865.31",3.28,1.56,1,"(3,3.5]","(3.25,3.5]",3.58718433030881,"(3,4]",3,FALSE,"(3,3.5].(3,4].3"
"16722","me",22,22,"9241.94",3.28,1.5,1,"(3,3.5]","(3.25,3.5]",3.96576314468977,"(3,4]",2,FALSE,"(3,3.5].(3,4].2"
"11712","go",19,19,"3793.04",3.37,1.46,1,"(3,3.5]","(3.25,3.5]",3.57898742263627,"(3,4]",2,FALSE,"(3,3.5].(3,4].2"
"18020","need",18,18,"1294.90",3.56,1.34,1,"(3.5,4]","(3.5,3.75]",3.11223623086894,"(3,4]",4,FALSE,"(3.5,4].(3,4].4"
"30500","what",22,22,"9842.45",3.86,1.37,1,"(3.5,4]","(3.75,4]",3.99310321723628,"(3,4]",4,FALSE,"(3.5,4].(3,4].4"
"15786","like",21,21,"3998.96",3.69,1.89,1,"(3.5,4]","(3.5,3.75]",3.60194706008097,"(3,4]",4,FALSE,"(3.5,4].(3,4].4"
"16733","mean",18,18,"1243.98",4,1.68,1,"(3.5,4]","(3.75,4]",3.09481339807227,"(3,4]",4,FALSE,"(3.5,4].(3,4].4"
"12528","have",18,18,"6161.41",3.72,1.96,1,"(3.5,4]","(3.5,3.75]",3.78968010910392,"(3,4]",4,FALSE,"(3.5,4].(3,4].4"
"30376","way",37,36,"1424.73",5.39,1.74,0.97,"(5,5.5]","(5.25,5.5]",3.15373256917238,"(3,4]",3,FALSE,"(5,5.5].(3,4].3"
"27831","too",21,21,"1371.57",5.1,2,1,"(5,5.5]","(5,5.25]",3.13721797733461,"(3,4]",3,FALSE,"(5,5.5].(3,4].3"
"13194","how",20,20,"3056.22",5.36,1.92,1,"(5,5.5]","(5.25,5.5]",3.48518461343345,"(3,4]",3,FALSE,"(5,5.5].(3,4].3"
"18478","now",20,20,"3202.61",5.25,1.77,1,"(5,5.5]","(5,5.25]",3.50550405537928,"(3,4]",3,FALSE,"(5,5.5].(3,4].3"
"30620","why",20,20,"2248.76",3.97,2.11,1,"(3.5,4]","(3.75,4]",3.35194310761994,"(3,4]",3,FALSE,"(3.5,4].(3,4].3"
