,Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno,agebin,agebin_small,logfreq,freqbin,wordlen,cvc,bin
3812,can,19,19,5247.45,4.32,2.26,1,"(4,4.5]","(4.25,4.5]",3.719948309,"(3,4]",3,TRUE,"(4,4.5].(3,4].3"
8233,dot,18,18,6.63,4.33,1.41,1,"(4,4.5]","(4.25,4.5]",0.821513528,"(0,1]",3,TRUE,"(4,4.5].(0,1].3"
11736,god,22,22,903.16,4.35,2.38,1,"(4,4.5]","(4.25,4.5]",2.955764695,"(2,3]",3,TRUE,"(4,4.5].(2,3].3"
10744,for,22,22,6895.1,4.39,1.97,1,"(4,4.5]","(4.25,4.5]",3.838540569,"(3,4]",3,TRUE,"(4,4.5].(3,4].3"
6625,cut,21,21,229.76,4.43,1.72,1,"(4,4.5]","(4.25,4.5]",2.361274423,"(2,3]",3,TRUE,"(4,4.5].(2,3].3"
23564,run,19,19,350.55,4.47,1.9,1,"(4,4.5]","(4.25,4.5]",2.544749971,"(2,3]",3,TRUE,"(4,4.5].(2,3].3"
20764,pop,22,22,67.47,4.48,1.59,1,"(4,4.5]","(4.25,4.5]",1.82911071,"(1,2]",3,TRUE,"(4,4.5].(1,2].3"
15663,let,19,19,2419.24,4.53,2.09,1,"(4.5,5]","(4.5,4.75]",3.383678955,"(3,4]",3,TRUE,"(4.5,5].(3,4].3"
20343,pin,19,19,16.37,4.53,1.39,1,"(4.5,5]","(4.5,4.75]",1.214048679,"(1,2]",3,TRUE,"(4.5,5].(1,2].3"
3626,but,21,21,4417.47,4.6,2.45,1,"(4.5,5]","(4.5,4.75]",3.645173609,"(3,4]",3,TRUE,"(4.5,5].(3,4].3"
23541,rug,18,18,10.41,4.61,1.61,1,"(4.5,5]","(4.5,4.75]",1.01745073,"(1,2]",3,TRUE,"(4.5,5].(1,2].3"
16640,mat,21,21,3.49,4.62,2.22,1,"(4.5,5]","(4.5,4.75]",0.542825427,"(0,1]",3,TRUE,"(4.5,5].(0,1].3"
2590,bin,19,19,5.37,4.68,2.67,1,"(4.5,5]","(4.5,4.75]",0.729974286,"(0,1]",3,TRUE,"(4.5,5].(0,1].3"
19425,pan,18,18,12.29,4.72,1.53,1,"(4.5,5]","(4.5,4.75]",1.089551883,"(1,2]",3,TRUE,"(4.5,5].(1,2].3"
12905,hit,20,20,275,4.75,2.83,1,"(4.5,5]","(4.5,4.75]",2.439332694,"(2,3]",3,TRUE,"(4.5,5].(2,3].3"
13068,hop,19,19,19.16,4.84,2.17,1,"(4.5,5]","(4.75,5]",1.282395505,"(1,2]",3,TRUE,"(4.5,5].(1,2].3"
2192,bat,20,20,20.63,4.85,1.73,1,"(4.5,5]","(4.75,5]",1.314499228,"(1,2]",3,TRUE,"(4.5,5].(1,2].3"
9968,far,22,22,220.76,4.88,1.57,1,"(4.5,5]","(4.75,5]",2.343920385,"(2,3]",3,TRUE,"(4.5,5].(2,3].3"
12174,gum,18,18,13.39,4.89,1.13,1,"(4.5,5]","(4.75,5]",1.126780577,"(1,2]",3,TRUE,"(4.5,5].(1,2].3"
5896,cop,18,18,86.14,4.94,1.3,1,"(4.5,5]","(4.75,5]",1.935204867,"(1,2]",3,TRUE,"(4.5,5].(1,2].3"
10397,fix,18,18,86.78,5,1.88,1,"(4.5,5]","(4.75,5]",1.938419646,"(1,2]",3,TRUE,"(4.5,5].(1,2].3"
27020,tag,20,20,13.88,5,1.81,1,"(4.5,5]","(4.75,5]",1.142389466,"(1,2]",3,TRUE,"(4.5,5].(1,2].3"
10919,fox,22,22,21.61,5.02,1.78,1,"(5,5.5]","(5,5.25]",1.334654767,"(1,2]",3,TRUE,"(5,5.5].(1,2].3"
19671,pat,22,22,18.29,5.07,2.12,1,"(5,5.5]","(5,5.25]",1.262213705,"(1,2]",3,TRUE,"(5,5.5].(1,2].3"
12744,her,20,20,2835.82,5.09,2.45,1,"(5,5.5]","(5,5.25]",3.452678661,"(3,4]",3,TRUE,"(5,5.5].(3,4].3"
17338,mix,18,18,16.35,5.11,1.71,1,"(5,5.5]","(5,5.25]",1.213517757,"(1,2]",3,TRUE,"(5,5.5].(1,2].3"
17538,mop,19,19,4.14,5.11,1.91,1,"(5,5.5]","(5,5.25]",0.617000341,"(0,1]",3,TRUE,"(5,5.5].(0,1].3"
19849,pen,19,19,24.73,5.11,1.29,1,"(5,5.5]","(5,5.25]",1.393224116,"(1,2]",3,TRUE,"(5,5.5].(1,2].3"
21731,pup,19,19,3.22,5.11,3.78,1,"(5,5.5]","(5,5.25]",0.507855872,"(0,1]",3,TRUE,"(5,5.5].(0,1].3"
22144,rat,18,18,32.61,5.11,2.25,1,"(5,5.5]","(5,5.25]",1.513350799,"(1,2]",3,TRUE,"(5,5.5].(1,2].3"
10011,fat,20,20,79.43,5.15,1.84,1,"(5,5.5]","(5,5.25]",1.899984563,"(1,2]",3,TRUE,"(5,5.5].(1,2].3"
17707,mug,20,20,6.84,5.15,2.03,1,"(5,5.5]","(5,5.25]",0.835056102,"(0,1]",3,TRUE,"(5,5.5].(0,1].3"
28347,tug,18,18,2.75,5.17,2.2,1,"(5,5.5]","(5,5.25]",0.439332694,"(0,1]",3,TRUE,"(5,5.5].(0,1].3"
29760,van,21,20,51.78,5.2,2.76,0.95,"(5,5.5]","(5,5.25]",1.714162046,"(1,2]",3,TRUE,"(5,5.5].(1,2].3"
18533,nut,19,19,15.63,5.21,1.69,1,"(5,5.5]","(5,5.25]",1.193958978,"(1,2]",3,TRUE,"(5,5.5].(1,2].3"
11168,fur,18,18,8.27,5.22,2.05,1,"(5,5.5]","(5,5.25]",0.91750551,"(0,1]",3,TRUE,"(5,5.5].(0,1].3"
22036,rag,18,18,4.78,5.22,2.05,1,"(5,5.5]","(5,5.25]",0.679427897,"(0,1]",3,TRUE,"(5,5.5].(0,1].3"
24901,six,20,20,199.53,5.25,1.86,1,"(5,5.5]","(5,5.25]",2.300008203,"(2,3]",3,TRUE,"(5,5.5].(2,3].3"
31101,zip,37,37,7.63,5.3,2.7,1,"(5,5.5]","(5.25,5.5]",0.882524538,"(0,1]",3,TRUE,"(5,5.5].(0,1].3"
11333,gas,19,19,67.78,5.32,1.97,1,"(5,5.5]","(5.25,5.5]",1.831101565,"(1,2]",3,TRUE,"(5,5.5].(1,2].3"
14903,jet,18,18,14.14,5.39,2.52,1,"(5,5.5]","(5.25,5.5]",1.150449409,"(1,2]",3,TRUE,"(5,5.5].(1,2].3"
14934,job,18,18,413,5.39,2.06,1,"(5,5.5]","(5.25,5.5]",2.615950052,"(2,3]",3,TRUE,"(5,5.5].(2,3].3"
6491,cub,20,20,2.1,5.4,2.04,1,"(5,5.5]","(5.25,5.5]",0.322219295,"(0,1]",3,TRUE,"(5,5.5].(0,1].3"
27717,tip,19,19,27.63,5.42,2.34,1,"(5,5.5]","(5.25,5.5]",1.441380885,"(1,2]",3,TRUE,"(5,5.5].(1,2].3"
14854,jar,18,18,8.31,5.44,2.18,1,"(5,5.5]","(5.25,5.5]",0.919601024,"(0,1]",3,TRUE,"(5,5.5].(0,1].3"
2017,bam,18,14,7.08,5.5,2.85,0.78,"(5,5.5]","(5.25,5.5]",0.850033258,"(0,1]",3,TRUE,"(5,5.5].(0,1].3"
3883,cap,19,19,18.75,5.53,2.01,1,"(5.5,6]","(5.5,5.75]",1.273001272,"(1,2]",3,TRUE,"(5.5,6].(1,2].3"
