STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
aire	18908.69	250.00	2863.13	24.33	112.98	5.00
bace	19808.93	281.50	2177.79	26.67	916.48	3.50
bach	13886.59	208.00	2695.97	26.00	939.57	1.50
bact	17867.47	253.00	1886.65	23.33	854.05	2.00
bant	18544.78	283.75	2388.18	38.67	395.78	4.50
beel	16032.85	214.00	3167.51	30.33	1590.63	5.50
bess	13340.57	286.25	2006.81	22.33	424.36	2.00
clus	5467.70	216.50	224.15	13.67	61.96	1.50
coap	13787.46	241.00	754.13	33.00	57.92	2.00
darm	14277.34	231.75	1211.03	36.33	213.94	4.00
deat	19698.48	237.25	6482.55	38.67	435.99	6.50
diew	13865.78	182.00	586.94	20.67	202.19	2.00
diss	12385.90	276.50	785.17	21.33	153.94	3.00
doem	16112.00	229.75	1917.39	18.00	230.15	1.50
dong	10455.63	225.00	1870.67	30.00	599.75	3.50
dood	13667.20	234.50	2781.35	33.33	817.04	4.00
dowl	10117.15	200.25	1364.53	18.67	631.93	3.50
dows	11031.06	291.75	1458.98	23.33	641.39	4.50
drea	9227.50	137.25	487.44	11.67	125.71	1.00
duse	14534.88	228.50	1287.21	25.33	35.93	2.50
duts	8811.95	255.75	346.82	31.67	85.82	4.50
elso	5003.32	92.00	784.51	2.67	587.46	1.00
fack	13138.32	213.00	2171.32	31.33	1175.43	6.00
faid	15341.35	229.75	2900.57	25.00	1586.88	4.00
feef	14929.11	179.25	2348.74	24.33	345.50	3.00
feen	18603.55	199.00	5399.92	28.33	1891.19	3.50
firl	13814.31	196.50	827.88	18.00	258.97	2.00
foor	13667.02	208.50	2066.76	29.33	489.71	3.50
frea	10592.18	131.75	1891.35	9.67	201.38	1.50
fron	10954.36	134.50	3257.80	15.00	2152.36	2.00
gire	19050.44	252.50	3115.49	26.67	254.27	6.00
gook	11863.30	224.00	2466.75	29.33	1137.95	5.00
gool	12210.47	221.50	2067.51	29.33	536.86	4.00
goom	12457.62	208.50	3651.82	29.67	701.93	4.00
goor	11934.68	207.25	2201.65	28.00	740.57	3.50
goot	17237.49	250.25	2121.67	34.33	521.81	6.00
grom	7543.50	121.50	3258.20	15.00	2162.95	2.50
haid	15351.75	230.25	4473.98	28.67	1631.23	3.50
hait	19289.71	252.75	3547.95	31.00	181.07	2.50
hali	12928.30	207.75	2661.53	25.33	234.94	3.50
hant	19200.22	270.50	3754.19	37.33	555.84	3.50
hany	15319.07	235.50	3361.54	31.33	732.98	2.50
heak	15699.36	206.00	2143.72	32.00	440.37	5.00
hean	17972.20	202.25	2839.77	37.00	573.24	5.50
hids	11751.19	254.25	485.54	22.00	48.58	3.00
hown	13417.88	194.00	1406.47	20.33	716.30	3.00
jaid	13235.79	212.00	2482.20	22.00	1543.69	3.00
jeal	13930.57	185.25	1575.25	31.33	284.44	6.00
jusk	6478.35	150.50	1381.01	18.33	628.42	3.50
jusy	7971.39	141.75	1372.46	16.00	647.73	1.00
kins	11615.95	269.50	1163.68	39.67	273.40	5.50
lach	14169.57	202.00	2572.13	27.00	374.60	2.50
lase	21023.64	287.25	1712.76	33.00	562.36	3.50
liss	13388.52	278.75	1832.32	25.33	176.19	3.00
lork	13891.75	245.25	2825.57	34.33	579.64	4.50
lury	10692.54	184.25	828.04	21.00	32.01	2.50
mand	15425.27	250.50	2946.77	40.00	893.73	5.00
mant	19363.22	273.00	2888.95	40.33	784.98	4.00
mear	15933.75	191.75	2021.78	36.33	880.31	8.00
miny	13901.52	195.25	1511.77	31.33	269.92	4.00
mool	14116.22	225.75	2886.07	32.67	137.96	5.00
mork	14427.21	240.50	3324.02	31.67	1689.21	3.50
morm	15021.53	225.00	3104.85	29.33	1354.08	3.50
mort	19801.40	266.75	3181.65	31.67	1351.70	3.50
nead	15072.57	193.25	2232.88	32.00	648.26	4.50
neen	16550.91	183.00	5388.73	28.33	1786.45	2.00
nore	19516.82	276.25	4309.67	35.33	1291.02	6.50
parm	13819.65	240.50	1427.21	38.67	375.22	5.50
pase	19563.33	293.75	1664.55	31.00	425.55	3.00
poon	14046.10	235.75	1954.02	37.67	339.02	6.00
pree	17461.52	221.75	385.67	14.33	152.24	2.00
ract	16722.03	240.75	1396.85	20.33	280.18	3.00
reah	15291.80	188.25	1629.59	30.67	315.46	3.00
riss	11960.10	272.50	837.34	21.67	217.51	3.00
