STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
abobt	6872.94	207.20	1333.55	9.00	852.57	1.33
aboin	6921.76	214.00	1656.38	16.50	853.82	2.00
aboit	8113.84	238.60	1410.32	16.25	852.63	1.67
aboks	7502.73	478.80	1690.73	41.75	948.24	3.33
abold	9298.91	265.80	2965.52	14.00	853.25	1.67
abole	10802.78	301.20	1866.02	22.00	989.48	2.67
abond	8814.81	269.00	2047.50	23.00	857.79	2.33
abone	10318.68	304.40	1831.10	25.50	991.69	5.67
abong	7169.56	206.40	2696.79	26.50	1116.50	3.33
abonk	6908.93	221.80	1965.23	25.00	853.23	2.00
abons	9192.24	503.00	1868.13	39.75	860.54	5.00
abont	8762.27	257.40	2057.45	27.50	940.80	2.00
abood	7217.05	243.60	1584.56	17.75	983.56	3.00
aboow	4834.81	176.80	1563.05	18.75	852.57	1.33
aboph	5878.56	198.80	1349.57	14.00	852.57	1.33
abory	7412.35	286.80	1806.77	26.00	918.87	2.67
abose	9859.07	283.60	2727.60	29.50	1323.70	4.67
abost	8302.67	236.60	2208.64	23.25	865.42	2.67
aboth	6789.66	239.60	1819.26	26.50	878.03	4.00
abots	8297.06	510.80	1654.85	64.50	898.64	8.67
aboup	5201.41	169.00	2080.75	14.25	1729.34	2.67
abour	7352.23	206.20	2022.44	15.25	1639.09	3.00
abown	5778.84	180.20	1664.56	18.75	1037.63	4.67
abows	7400.89	450.40	1595.15	23.00	939.11	6.67
acach	6942.21	239.40	1533.16	33.75	81.21	2.67
acare	9961.95	327.20	1889.97	35.00	96.02	4.67
addey	7003.16	373.00	568.51	25.25	77.94	2.33
affut	5139.88	142.00	938.90	7.50	0.08	0.33
aftak	4557.98	166.80	848.13	9.50	395.17	0.33
aftan	5219.24	177.80	1116.81	14.00	398.09	1.00
aftap	4159.57	156.40	795.43	7.25	395.17	0.33
aftck	5072.22	151.20	1076.82	20.00	395.17	0.33
afted	9148.01	351.20	2247.02	81.00	998.94	7.33
aftel	7606.60	315.80	1697.31	31.75	991.21	2.00
aften	7903.40	315.00	2091.48	30.00	1116.02	1.67
aftes	9525.44	585.20	2452.90	103.50	1032.10	9.00
aftey	7797.76	380.80	1650.01	25.50	946.91	1.33
agace	9657.64	302.60	1364.94	23.25	528.93	4.00
agact	8101.24	255.60	821.77	16.50	272.69	3.00
agaid	7943.45	275.40	816.61	19.00	514.16	2.67
agald	9075.99	291.00	2231.07	16.50	256.75	2.00
agaly	7725.74	320.60	932.13	30.25	267.66	2.33
agand	8591.88	294.20	1068.95	25.75	324.26	3.33
agard	8539.67	282.40	1239.35	26.50	405.50	4.33
agare	10043.54	317.80	2247.53	32.75	344.80	4.33
agary	7189.43	312.00	1411.15	32.75	267.86	3.67
agere	10751.34	276.20	2648.79	23.75	1437.13	1.00
agous	7547.68	459.00	958.93	16.00	6.46	1.00
agrte	8459.41	307.60	968.84	21.25	21.06	0.67
agrut	6489.07	210.40	853.60	11.75	21.24	0.67
ahild	13562.29	312.40	3911.46	29.50	535.22	2.33
ahile	15066.16	347.80	2811.95	37.50	617.65	4.00
ahres	13733.44	666.40	1394.88	104.75	260.50	11.33
alach	7833.73	287.40	2174.52	54.75	388.09	5.33
alaff	5125.88	238.60	800.31	34.50	46.54	1.67
alage	9171.85	355.00	978.69	43.50	82.44	3.33
alase	10446.08	366.20	2028.55	56.25	157.70	7.33
alems	8754.48	508.40	676.00	34.25	99.73	2.33
alold	9773.40	321.60	2266.56	32.00	180.08	2.33
aloms	7934.16	523.20	818.37	43.25	212.89	4.33
alore	10740.95	348.40	1944.18	44.00	237.52	6.33
alors	9614.52	547.00	1145.52	49.50	217.25	3.67
alout	7927.65	270.80	1905.06	35.00	1005.43	7.00
alown	6253.33	236.00	965.60	36.75	383.41	8.00
amand	8678.01	300.80	896.82	28.25	68.40	3.33
amare	10129.66	324.40	2075.40	35.25	96.18	4.33
amars	9003.23	523.00	1276.74	40.75	375.70	8.67
amast	8165.87	268.40	1053.68	29.25	166.22	5.00
amory	7163.02	291.80	690.82	25.50	165.01	1.67
amost	8053.35	241.60	1092.69	22.75	111.81	2.00
andep	6455.57	302.20	625.03	22.75	213.82	1.00
anice	10699.07	302.20	1702.31	23.75	155.22	3.33
antic	4552.39	163.80	418.56	16.75	157.52	1.67
apads	7554.62	513.60	683.20	37.75	95.62	5.00
apest	8884.27	235.80	1159.01	23.25	28.26	1.67
apirs	9726.64	511.20	549.71	34.25	11.14	4.00
arail	7719.27	317.40	878.69	44.50	96.62	5.67
arale	11897.09	403.80	1089.52	52.00	38.19	2.00
arbld	8188.45	278.40	1717.33	11.75	0.00	0.00
ardld	8500.77	287.80	1728.27	11.25	0.00	0.00
arere	12068.57	353.60	2972.08	41.00	1470.84	2.00
arice	11687.67	359.20	2054.51	44.25	211.02	5.67
arich	9053.83	286.60	2580.29	52.50	1167.39	3.67
arild	11106.03	347.60	2686.83	44.25	184.51	4.00
arile	12609.89	383.00	1587.33	52.25	266.94	5.67
arink	8716.05	303.60	1913.39	57.50	441.02	7.67
askek	6377.23	280.20	642.15	19.50	320.39	1.33
