STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
abviced	5492.24	889.43	1596.42	238.50	115.44	10.80
abvinde	3687.15	424.57	426.93	48.00	27.70	3.00
achater	5158.34	872.43	1246.40	223.67	214.83	36.60
acobing	6957.61	936.00	3069.77	368.33	1717.52	203.40
aditing	7780.58	1018.43	3628.21	420.33	2135.26	227.40
adveves	5962.08	1108.57	896.50	194.33	137.42	9.80
afftang	5871.56	712.00	1831.02	209.67	30.64	5.40
affutrs	4395.86	813.43	612.48	110.67	15.06	3.00
agadids	6341.63	1096.14	697.64	61.83	191.03	6.20
agaging	7160.03	975.71	3231.17	373.50	1909.78	211.00
agailal	3845.68	523.00	746.95	39.83	266.30	2.40
aganght	3689.25	426.57	807.39	33.00	413.32	5.80
agapong	5768.95	737.29	1922.59	200.50	159.51	3.60
agaring	7452.56	1008.00	3476.47	399.83	1955.35	214.40
agartry	4496.34	628.00	715.70	52.83	244.97	4.20
agashed	6415.93	1004.14	2081.90	268.67	276.03	32.00
aistase	6050.76	769.43	905.63	90.67	130.78	11.60
alammen	5415.60	880.86	599.05	78.50	32.38	15.20
alamurn	4267.37	568.86	522.00	58.33	11.43	2.60
alanere	6042.64	838.00	1016.20	173.67	67.87	13.00
alaring	7761.87	1076.57	3516.24	429.17	1845.86	216.00
alecurs	5206.42	925.43	795.75	135.83	33.52	6.80
alidice	5785.13	826.43	568.78	73.83	60.90	8.80
alobapt	3786.16	490.29	356.55	36.00	0.58	1.40
alocert	5300.85	719.86	773.29	132.33	75.39	7.60
aluging	6816.34	971.43	3142.92	389.17	1771.27	210.60
amplier	6908.77	1165.86	1348.52	279.33	153.65	71.20
ancisht	3666.77	432.71	556.88	36.67	35.79	3.40
andrain	3281.31	493.14	592.72	50.50	155.13	7.40
angeaen	5802.60	896.43	600.15	44.33	13.17	3.40
anglong	5458.58	736.86	1891.75	214.83	54.36	4.60
angloow	2798.57	429.00	369.06	42.33	54.22	3.40
angusts	4071.11	798.29	606.78	93.17	44.07	12.80
anhoqus	3549.08	686.86	354.27	32.17	1.17	0.80
anintrd	4857.77	731.43	569.47	54.83	137.43	5.60
anjutly	3592.66	474.00	696.76	73.67	86.70	7.60
anoblol	3166.71	465.29	503.10	37.50	187.75	2.20
anocint	7139.50	935.86	2200.01	229.00	163.25	7.60
anokied	7991.99	1274.14	2138.97	337.50	324.68	24.20
anonior	5612.63	828.86	780.90	68.00	159.54	7.00
anothes	7753.21	1321.86	1803.04	242.33	882.52	32.00
anqught	2881.54	308.86	773.51	23.83	428.99	5.60
anssods	4874.57	875.29	588.23	58.33	36.67	3.40
antting	8322.54	1057.00	3791.55	442.17	2126.33	237.60
apaited	6789.82	1080.29	1930.31	286.17	324.69	46.60
arciory	5267.41	680.14	650.80	58.17	63.66	4.60
areckex	5130.59	843.00	491.95	77.33	69.51	16.20
arothed	7761.31	1127.43	2650.23	300.00	701.06	30.00
aspened	5961.74	937.14	1688.21	250.00	101.61	16.60
asunied	7518.58	1229.71	1961.42	335.17	112.52	18.40
atoplex	4909.42	828.71	411.58	110.50	81.03	11.00
atorout	4003.68	512.29	474.19	48.17	143.09	7.20
attaust	4511.15	486.71	712.72	55.67	277.40	4.80
atteded	6318.91	968.86	1550.26	239.17	162.64	17.40
awading	7215.56	999.00	3209.85	390.00	1926.03	215.60
awearan	3590.20	453.43	485.95	51.17	42.72	3.20
bacaure	5626.43	808.57	851.52	68.33	354.61	10.60
banatly	5148.45	838.29	782.33	139.67	130.86	16.00
bansans	7197.28	1315.43	546.66	137.83	33.98	15.20
basthen	6940.86	1136.86	1346.11	142.00	414.00	20.60
bastome	5512.12	821.86	537.73	97.33	108.55	16.80
bathary	5283.95	798.43	842.68	95.50	55.30	9.40
beainds	7060.89	1085.86	1356.30	100.33	242.49	13.60
beantrs	7426.02	1205.57	1568.35	177.67	122.23	8.20
beapout	5922.44	737.43	1322.14	88.17	178.15	9.60
beayine	9028.03	1160.14	2536.75	258.67	166.92	21.20
becated	8212.23	1209.14	2803.25	322.33	862.84	57.20
becaurs	7144.53	1089.86	1736.17	150.33	748.91	6.20
becaush	5535.11	607.14	1532.54	64.17	962.68	3.20
bechogh	4889.35	549.43	1109.70	51.50	254.75	2.00
becicle	6184.11	747.14	1171.84	88.83	327.57	7.20
beckion	6635.13	873.86	1398.60	117.17	482.09	21.60
becouge	5828.33	645.71	1355.99	68.67	511.69	4.60
bectiom	7208.76	916.29	1520.00	111.67	384.01	9.80
beeenes	8799.60	1462.14	1442.03	249.33	12.61	9.20
beetint	9460.37	1186.14	2846.64	295.00	357.37	33.60
