STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
abandmice	2495.77	699.67	195.40	54.50	40.92	5.43
abandmics	2672.83	936.44	125.11	44.88	45.66	8.71
abdolvers	2037.49	815.00	241.35	99.38	101.44	43.71
abormine	4350.50	999.50	944.10	239.57	96.37	19.83
abruggle	2591.08	541.25	222.25	40.14	56.09	4.33
abrupied	5186.62	1178.12	1187.54	259.14	40.07	13.17
absconweally	484.27	278.08	148.44	79.73	60.41	30.90
absectantive	593.72	340.58	154.95	67.64	34.37	12.40
absoured	4349.00	895.12	1498.48	240.86	332.20	49.33
acarcity	3845.99	899.75	516.13	86.29	175.22	23.67
accaresic	1543.27	467.11	172.42	51.62	51.72	6.29
accasances	1746.48	860.20	304.19	154.89	60.40	21.00
accasionshed	429.42	260.33	136.08	48.00	73.53	8.20
accasionship	363.13	183.50	122.23	25.82	91.68	9.00
accastance	1579.34	522.60	412.00	83.33	208.31	28.62
accender	3998.78	845.50	798.22	141.00	193.53	21.17
acceptiness	1004.76	571.45	148.33	98.10	45.12	51.33
acceresic	1944.34	521.00	333.29	80.00	67.03	9.43
accidary	2998.05	613.50	424.51	60.86	137.80	11.00
accidule	3014.60	561.38	350.34	48.29	69.14	5.67
accietans	3623.70	1106.89	413.82	91.38	137.34	17.57
accommation	1367.81	506.55	755.63	199.30	516.52	119.44
accomparency	413.40	216.75	104.06	35.73	41.63	13.30
accomplying	949.59	460.45	248.76	158.30	134.22	84.67
acconsceful	511.90	231.64	79.04	28.40	37.95	9.67
accopulated	724.48	430.91	224.98	128.90	89.21	53.56
accordically	554.77	301.92	196.94	101.27	88.96	48.50
accorprower	661.37	364.82	120.94	43.90	29.37	7.67
accorwism	2319.03	698.78	321.90	61.38	110.28	14.00
accounation	1444.01	526.36	785.46	202.10	534.72	121.78
accouriasm	1129.27	459.50	174.62	55.33	52.74	10.00
accumentars	856.59	496.73	94.61	59.40	28.87	12.44
accupapers	1431.75	676.50	190.92	80.00	96.28	35.50
accuparable	706.86	361.09	152.98	69.80	87.10	31.11
accupational	366.79	183.58	118.57	31.64	66.08	10.10
accupatiters	528.87	357.58	86.94	59.55	31.98	24.10
accurience	1657.96	502.40	456.33	80.22	279.82	31.38
accurnal	2889.47	480.12	659.22	52.43	254.69	12.67
accustring	2114.82	753.80	664.34	288.22	374.50	150.25
acheress	3673.99	1075.88	714.39	177.71	266.75	47.83
achesses	4298.31	1141.38	563.06	207.00	64.18	28.83
achibiter	2383.32	746.89	349.87	126.25	45.05	16.57
achients	3655.25	911.25	628.40	100.00	199.51	21.50
achieval	2591.79	426.12	516.96	37.71	103.05	4.67
achieverian	982.70	417.64	116.47	44.20	42.62	11.00
achieverily	1050.14	482.45	196.41	82.40	52.28	8.67
achilization	700.95	321.75	391.13	120.55	283.54	72.70
achioned	4669.65	900.75	1425.56	212.14	248.97	26.17
acknoglowth	411.54	205.82	30.59	12.90	6.65	1.78
acknomitibly	492.29	296.83	177.43	90.36	21.52	11.30
acknowledly	593.15	292.27	125.15	62.30	17.05	6.44
aconominally	511.11	297.75	165.59	86.27	66.94	33.70
acquiesslity	496.01	277.83	45.37	28.64	22.70	12.60
acquiretible	525.21	273.08	117.70	54.55	39.81	13.70
acquissionds	442.29	263.67	87.14	21.18	44.26	7.50
acratical	2107.42	574.78	546.32	87.12	237.62	23.14
actifector	1214.22	437.90	107.29	33.44	37.67	9.12
actificial	1679.89	563.50	253.37	54.44	100.20	11.00
actimatred	1866.03	698.10	478.59	153.33	86.87	14.75
actional	3234.64	545.75	747.87	60.57	354.03	10.17
actishised	1606.85	658.70	360.05	131.67	37.87	9.88
actistable	1683.41	578.60	404.27	110.56	206.86	50.38
actualls	3306.27	917.12	367.20	59.43	200.69	16.00
acturned	4875.59	931.75	1455.45	213.29	307.00	24.33
adappector	1076.71	412.10	63.86	30.11	17.71	8.62
addiator	2655.06	539.50	242.09	64.14	52.35	15.00
addiever	3813.37	779.75	701.59	111.57	220.06	9.00
