STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
drends	4779.45	672.00	584.25	63.20	166.68	12.50
drgier	8396.51	896.33	1674.79	164.80	18.84	14.75
dringh	3732.60	371.50	925.74	63.20	225.45	10.00
droped	9021.32	890.50	2566.51	252.60	113.47	26.25
drrect	5470.25	508.33	600.97	37.00	169.50	4.75
drurgs	4629.55	640.00	474.10	32.20	0.92	1.00
dubing	5206.91	510.00	1883.53	139.20	937.07	69.25
dufong	4684.53	411.00	1348.45	76.80	51.54	2.00
duming	5633.04	526.67	2022.31	146.60	1003.95	70.75
dusule	6746.26	532.67	1289.90	73.80	47.50	2.00
eapart	5232.21	526.50	292.41	35.60	5.34	2.75
earrsy	5873.81	587.00	573.02	54.60	34.61	6.50
eatere	7836.12	636.67	1204.53	79.20	73.52	10.00
efffer	6233.49	632.00	1610.74	147.80	128.01	12.50
efffut	2435.86	205.67	248.23	20.60	62.32	2.00
effons	5213.56	565.50	717.66	42.60	130.96	9.75
effour	3676.50	293.33	673.41	20.80	229.88	7.50
effuas	4258.39	516.33	283.44	24.40	62.32	2.25
eiltht	4734.69	440.33	386.29	33.40	9.25	2.50
einnce	6049.86	507.33	765.84	56.80	118.79	7.50
eistht	4823.66	438.17	616.18	47.80	51.70	3.25
eivats	4972.03	682.67	463.28	68.00	5.76	4.50
eminet	6959.82	710.83	796.11	77.60	44.78	11.00
emofid	4535.84	401.50	122.81	17.40	9.24	0.75
emoker	7397.76	729.83	2001.31	179.40	234.24	22.50
emurgh	2578.55	220.67	525.13	15.20	0.00	0.00
enater	8225.70	836.83	2322.51	205.20	449.77	33.50
enddgh	2743.65	229.67	596.17	28.80	7.02	1.50
endere	5600.53	445.67	1089.30	66.40	138.32	6.00
endist	4688.82	408.33	664.95	62.80	71.17	10.75
eniver	7065.74	743.17	1841.87	168.40	74.60	12.00
enkich	3925.10	307.33	682.91	38.80	1.52	1.25
enstes	8450.73	1005.50	1760.22	202.80	283.27	24.00
enswle	5758.88	414.50	1162.64	64.00	51.83	1.50
envilt	5812.38	446.50	630.77	35.40	8.94	3.00
envine	6632.26	498.83	1420.71	97.80	269.59	12.00
enytly	5060.53	406.17	1261.85	58.20	67.88	4.75
erince	5598.12	470.00	857.10	66.80	127.98	8.75
eurnal	4339.94	454.67	725.74	51.60	142.86	4.25
eveays	3755.68	544.83	427.62	28.80	190.58	5.25
eveple	5488.98	402.33	1279.87	59.00	449.05	5.50
eveted	8235.39	807.83	2518.69	249.60	290.90	31.50
