STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
abbel	6912.95	296.20	829.03	25.00	17.19	3.67
aboud	7505.69	226.60	2028.33	14.00	1657.23	2.67
aboup	5201.41	169.00	2080.75	14.25	1729.34	2.67
acred	9500.92	399.60	1025.13	84.75	90.53	8.67
acten	7654.73	325.80	1430.43	31.00	202.16	2.00
addeo	5941.74	289.20	461.75	21.25	80.20	3.00
addes	8730.85	577.40	1371.40	103.25	112.88	9.00
adope	8099.14	273.80	157.95	15.50	27.80	3.33
aduld	8668.64	238.60	2916.10	13.25	1670.34	1.67
afood	7048.68	240.60	593.01	13.75	132.45	3.00
afoor	6895.22	220.20	638.37	17.75	57.79	2.00
afted	9148.01	351.20	2247.02	81.00	998.94	7.33
aftel	7606.60	315.80	1697.31	31.75	991.21	2.00
aften	7903.40	315.00	2091.48	30.00	1116.02	1.67
aftes	9525.44	585.20	2452.90	103.50	1032.10	9.00
agail	6402.04	240.00	920.74	17.00	524.55	4.00
agair	7789.99	255.00	1516.89	13.75	550.72	2.67
agene	10803.55	288.00	514.84	19.50	60.01	1.00
agilt	9736.26	258.60	963.72	20.50	59.63	2.33
agong	6834.11	204.80	1633.95	23.50	272.48	2.67
aheet	14752.44	409.00	2607.15	30.75	126.08	5.33
aheir	12271.28	255.60	3791.47	12.75	1999.02	1.00
ahere	14524.83	318.40	4689.04	30.25	2878.67	2.33
aherk	11115.09	235.80	3527.38	22.00	1464.57	2.00
aiste	8860.80	362.80	623.01	30.25	61.57	4.00
alich	8546.54	266.60	2416.76	43.25	1167.88	4.67
alide	10107.07	336.00	459.80	30.75	98.98	7.00
alied	11846.42	456.60	1189.91	89.25	159.32	7.33
alite	10723.32	374.00	1079.18	38.00	405.58	6.67
alock	6945.30	250.60	921.42	40.50	284.49	6.67
alont	9236.76	313.20	1358.49	45.50	442.49	4.00
alood	7691.53	299.40	885.59	35.75	428.35	6.00
aloom	5305.04	239.40	797.38	36.75	307.08	5.67
aloor	7538.08	279.00	930.96	39.75	353.68	5.00
aloot	7639.00	287.80	803.30	39.50	306.25	5.67
alose	10333.56	339.40	2028.63	47.50	721.89	6.67
alots	8771.55	566.60	955.89	82.50	244.48	11.67
altal	5565.30	237.40	615.11	25.25	103.81	3.33
amone	10069.35	309.40	715.15	25.00	336.43	5.00
amons	8942.92	508.00	752.18	39.25	205.29	4.33
amont	8512.95	262.40	941.50	27.00	285.55	1.33
anged	9132.70	354.40	854.46	73.75	87.06	4.67
apach	7120.52	245.60	1616.15	35.50	161.50	4.00
apris	7676.43	495.20	167.64	19.25	56.91	3.00
arain	8016.07	316.60	1048.50	46.75	446.04	7.33
areak	7758.68	271.40	1146.69	36.50	508.56	9.00
arear	9511.09	298.20	1190.11	39.75	510.71	8.00
areel	10807.30	420.40	980.23	43.75	209.89	7.67
areet	12296.18	444.20	890.19	41.50	219.13	8.67
armen	8553.70	383.20	985.56	26.50	199.82	2.33
armes	10175.75	653.40	1346.98	100.00	265.46	5.67
arone	11300.46	380.20	1067.29	46.25	307.97	9.00
arops	8367.75	545.80	687.56	55.50	65.48	7.33
asink	7401.08	229.00	1621.98	33.75	375.46	4.00
asken	7038.49	291.20	1166.55	28.00	440.78	3.00
askes	8660.54	561.40	1527.97	101.50	447.01	10.00
atten	8587.82	334.80	1394.66	30.25	179.45	2.00
avora	6021.16	207.60	255.33	15.50	38.29	1.67
avord	8387.68	257.00	389.83	16.25	35.20	2.00
awart	8443.87	281.40	990.17	31.25	253.90	5.67
awass	8466.44	518.00	586.26	26.00	195.43	4.67
baddy	5025.10	395.00	296.21	37.25	44.46	6.00
baise	11536.30	470.00	1416.72	54.75	81.88	4.33
bangy	5124.97	434.80	437.51	55.25	64.43	9.00
banne	9712.92	472.60	564.91	52.25	39.21	5.67
baset	9431.41	517.60	436.02	49.50	143.20	8.67
basky	4712.38	408.80	319.46	44.00	86.72	6.00
basts	7234.40	645.20	652.07	88.00	207.61	16.33
beace	10832.86	431.40	2377.49	58.50	429.64	9.33
beanc	7390.16	358.40	1710.36	55.00	202.45	7.67
bearn	8470.28	375.00	2123.16	61.50	634.23	12.00
beart	9662.36	399.60	2326.12	62.50	762.46	13.33
beath	7741.96	393.60	2051.29	60.25	238.15	9.33
begae	8799.00	361.00	750.50	24.25	336.81	5.33
begic	5222.12	253.60	773.45	29.75	249.00	4.67
begit	7546.52	306.60	763.46	29.25	228.89	4.67
begry	6845.03	354.80	975.35	30.50	216.30	3.67
beind	10479.91	402.20	2199.68	48.25	587.37	3.00
beink	8574.04	355.00	2117.41	50.25	886.92	5.33
beint	10427.38	390.60	2209.64	52.75	757.58	6.67
bense	9241.19	398.60	1729.81	48.50	211.77	4.67
bibre	8955.98	352.00	1252.71	21.25	16.46	1.67
biken	8153.43	412.60	1001.16	34.25	166.18	6.67
biree	12203.58	549.80	943.91	38.00	325.62	8.00
birld	9452.02	385.40	2367.47	21.25	343.99	2.00
birst	8455.78	356.20	1430.10	32.75	881.76	3.67
birty	6722.49	426.00	999.60	37.25	233.65	4.67
blace	9897.46	386.00	1631.47	50.00	717.58	8.00
blake	8646.07	388.80	807.39	42.25	176.89	8.00
blans	9209.14	611.60	1156.11	69.25	350.69	14.00
blass	8749.54	590.80	1176.19	48.75	422.08	9.33
blike	9358.88	368.00	399.73	29.50	31.97	3.33
blith	7519.37	327.40	1053.87	41.75	58.50	4.33
blive	9289.86	340.00	608.00	36.75	102.72	5.00
blone	10223.06	386.20	1114.86	47.00	396.40	9.67
blong	7073.94	288.20	1980.56	48.00	521.22	7.33
blont	8666.66	339.20	1341.22	49.00	345.51	6.00
bloor	6967.97	305.00	913.69	43.25	256.71	7.00
blose	9763.45	365.40	2011.36	51.00	624.91	8.67
blumb	4325.26	217.20	278.38	29.00	28.12	6.33
blund	8502.18	321.20	1070.02	40.50	392.26	8.00
boate	12250.78	507.00	871.96	45.75	174.83	7.00
bonth	8046.76	395.40	836.44	49.25	87.26	4.33
boods	10395.58	640.80	805.32	64.00	166.72	10.33
boody	8667.89	436.40	493.94	50.25	121.17	8.33
borry	9498.46	451.80	1203.26	50.50	220.42	9.00
bould	11796.67	404.20	5050.39	41.50	3246.07	4.67
brast	8826.87	365.20	1323.53	61.50	259.43	12.00
brean	7849.83	308.40	1555.16	48.25	479.93	8.67
brear	8940.99	324.20	1329.89	47.00	528.89	9.00
breat	9041.91	333.00	1412.64	45.50	689.24	9.67
brich	8483.73	312.60	2720.07	59.75	1257.10	7.00
bried	11783.61	502.60	1493.22	105.75	339.23	13.67
brisp	7287.92	298.40	727.17	44.00	132.51	7.67
brite	10660.51	420.00	1382.49	54.50	489.45	8.67
broms	7871.34	569.20	893.30	53.25	107.96	6.33
brone	10730.35	406.20	1207.06	53.50	375.08	11.67
brong	7581.23	308.20	2072.76	54.50	499.90	9.33
brote	9835.18	414.00	1203.27	54.25	165.63	7.00
brout	7864.84	316.80	1980.00	45.00	998.88	8.00
brove	8971.83	354.00	1030.50	49.00	253.06	8.00
brump	4972.62	248.00	388.37	33.00	24.33	5.67
buill	8142.71	340.40	1475.81	38.25	483.34	7.00
buils	10061.56	609.80	1237.27	59.50	173.12	9.33
buite	9808.71	422.20	1111.64	37.00	588.20	5.00
buman	4447.64	274.20	700.87	30.00	336.29	3.33
bunce	7982.78	369.20	926.73	38.75	255.46	7.67
burry	6343.58	387.80	630.00	43.00	183.06	11.33
cales	10300.97	795.00	1386.85	132.25	200.73	16.67
calit	7490.77	404.80	469.65	43.25	35.52	2.67
calue	8386.49	428.20	447.19	38.00	93.28	3.00
carls	10172.60	683.40	1218.68	74.50	225.76	7.00
carth	7285.91	423.20	1388.34	60.75	447.43	11.00
casic	4999.77	326.20	538.16	40.50	187.14	4.00
