STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
freame	5232.45	472.83	664.75	51.00	210.74	12.50
frease	5551.41	500.33	675.66	60.60	213.65	12.50
frence	5697.12	474.50	838.30	57.20	229.72	11.25
frents	5244.84	708.50	787.03	94.80	248.34	14.00
fretty	4809.56	504.00	495.88	51.00	132.92	6.25
frings	5313.53	674.00	899.11	67.80	412.39	16.25
frould	7568.94	572.00	1498.79	49.60	712.50	7.00
frount	6156.66	468.17	1450.85	60.20	470.96	8.25
fusher	7822.05	814.00	1971.36	179.40	555.41	28.25
fution	5874.03	516.67	833.17	57.80	250.98	9.00
futpus	5194.50	652.67	221.87	31.40	68.64	2.25
futual	4511.21	395.00	635.39	43.20	216.05	4.25
futurn	5226.61	418.00	548.57	33.20	296.90	4.25
galmly	5855.60	588.83	991.76	78.80	38.51	6.50
garked	9901.41	1025.33	2695.43	285.40	571.22	36.50
garrow	4928.61	515.17	591.27	74.20	141.79	14.50
gazzed	8196.82	877.00	1876.54	215.00	19.28	7.25
gented	10509.30	1004.83	2890.52	279.40	511.06	42.75
geopen	8948.80	834.00	1019.55	63.80	400.52	5.75
geople	8256.53	592.17	1850.68	63.20	1093.91	5.50
gering	7739.49	642.00	2223.55	167.60	1181.93	76.25
geriod	8632.43	730.00	736.50	54.00	183.25	5.50
gerson	5872.69	523.17	833.16	57.20	299.16	7.25
giabby	3724.92	444.33	92.55	17.40	16.97	4.50
givide	6022.80	525.00	562.90	31.00	227.38	5.50
glacer	7148.70	806.33	1750.17	172.20	153.83	9.25
glaner	7735.59	842.17	2000.09	196.20	164.08	17.50
gloope	5543.33	424.33	308.59	36.00	88.70	7.00
godies	9724.23	1176.33	1017.15	165.60	185.75	17.75
golice	7264.79	627.17	873.75	57.40	413.36	10.00
golool	4941.08	466.67	419.95	37.00	130.02	3.25
grance	5631.75	507.17	882.16	78.80	262.65	19.25
graner	8006.35	878.67	2111.15	213.00	196.68	22.50
grases	8063.36	1075.00	1255.30	201.60	148.43	33.75
greame	4876.57	465.00	680.37	55.60	179.82	12.75
greark	3369.17	385.50	500.66	60.20	101.69	11.50
greect	4637.22	447.00	633.53	55.80	207.78	12.50
grefer	6996.13	789.83	1718.71	170.40	62.63	9.25
grents	4888.97	700.67	802.65	99.40	217.42	14.25
grenty	4140.90	472.50	716.99	67.80	189.80	8.00
grough	4304.61	328.17	1549.80	51.00	928.67	11.00
grould	7213.06	564.17	1514.41	54.20	830.03	9.25
groupe	5713.58	438.33	1172.39	51.80	394.60	10.00
groven	7126.82	748.83	901.49	92.80	217.53	15.50
growly	5269.35	463.50	1249.17	85.00	234.97	10.75
grozed	8423.37	844.17	2260.43	231.80	155.26	9.75
guiter	8071.80	887.67	2163.11	201.20	482.53	32.00
habily	6897.84	651.00	1090.70	76.40	160.54	8.00
hannis	6030.74	812.67	610.10	65.00	129.63	7.50
hapost	5160.30	486.50	678.81	50.60	159.72	3.50
harded	10048.49	1023.33	2649.12	277.00	309.94	25.75
harger	9110.92	968.17	2099.12	214.00	270.59	21.75
harnea	8238.01	884.83	882.30	84.60	194.47	10.00
havage	5910.17	517.83	473.57	38.40	139.82	8.00
havice	7043.91	600.17	1038.46	51.20	407.99	9.75
havicy	5895.51	569.00	806.56	42.40	255.25	6.00
healts	6540.46	798.00	950.41	96.00	303.96	11.25
heared	10174.68	982.17	2629.77	260.80	331.03	29.25
heason	5524.80	506.00	1070.37	71.80	375.22	12.00
hellow	4754.36	422.83	653.43	63.60	200.70	17.00
herind	9329.85	761.50	1879.47	128.80	321.97	16.75
herish	6762.11	557.00	712.01	81.40	146.46	18.50
hident	5505.00	504.33	711.01	47.20	242.15	12.50
hidius	5655.31	740.50	280.12	38.80	45.29	5.00
higgen	6755.02	744.50	694.74	84.40	107.24	14.75
honded	9440.90	962.17	2576.67	266.80	315.01	30.75
horges	9494.47	1142.83	1236.90	189.20	135.81	20.25
horive	7548.37	636.33	732.69	69.20	80.08	7.00
hormal	4791.44	492.50	872.82	73.20	236.31	7.75
horost	6202.69	530.17	953.81	73.20	218.53	4.50
hourch	4253.19	398.17	849.20	55.80	351.60	7.50
hugger	6929.82	781.67	1641.67	181.60	179.64	25.75
hundom	3293.34	376.33	448.77	43.20	178.57	6.75
hunned	8727.04	913.00	2290.21	245.00	318.46	30.50
hurion	5729.89	550.33	1113.60	77.20	272.85	9.75
incono	3853.72	297.50	616.68	35.00	149.25	3.50
indeet	7149.61	718.83	779.94	56.80	263.39	3.25
indely	4991.35	432.67	1356.80	80.40	341.29	12.75
inders	4959.22	626.00	846.32	101.40	405.03	39.50
indies	8397.42	1017.67	1158.40	167.00	254.03	17.25
infaic	2362.05	249.17	423.45	40.80	35.19	4.25
injurn	3402.10	252.17	462.20	30.40	63.27	3.50
injust	3393.20	241.83	482.64	43.80	46.29	3.50
