STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
ais	24308.30	55.33	3098.15	3.50	0.00	0.00
ald	27544.57	38.00	2132.22	2.50	0.00	0.00
ane	49538.89	39.67	16527.93	2.00	0.00	0.00
ank	24360.20	23.33	14881.53	2.00	0.00	0.00
anp	24478.43	36.67	14879.54	2.00	0.00	0.00
ars	22046.38	35.00	2457.82	3.50	0.00	0.00
ase	38599.73	38.00	366.00	2.50	0.00	0.00
bas	19636.13	69.00	6796.19	6.00	0.00	0.00
ber	11817.94	54.00	2372.24	4.00	0.00	0.00
bew	8312.78	55.67	1021.25	7.50	0.00	0.00
bia	6560.54	52.33	283.93	4.00	0.00	0.00
bip	6635.09	60.67	308.11	8.50	0.00	0.00
bor	16687.86	63.33	4438.99	7.50	0.00	0.00
bur	11343.34	47.00	3359.17	5.00	0.00	0.00
cas	18174.49	67.00	7755.46	6.00	0.00	0.00
cay	13413.44	72.67	3227.13	10.50	0.00	0.00
cre	27972.00	41.33	2156.52	3.00	0.00	0.00
das	18091.38	66.33	7004.69	4.00	0.00	0.00
dir	10183.60	50.33	854.94	5.50	0.00	0.00
dis	12039.81	51.33	3553.30	5.50	0.00	0.00
dut	10866.43	59.33	4377.83	7.50	0.00	0.00
ead	23405.95	72.00	3516.41	6.50	0.00	0.00
eaw	12209.07	65.00	393.78	5.50	0.00	0.00
eay	12809.39	70.00	2161.25	7.50	0.00	0.00
ege	25734.51	30.33	148.17	1.50	0.00	0.00
ene	36749.47	33.67	1880.51	1.00	0.00	0.00
fas	20555.53	67.00	6904.68	5.50	0.00	0.00
fer	12737.34	52.00	2527.49	4.00	0.00	0.00
fom	13355.67	64.67	4226.01	4.50	0.00	0.00
fon	14353.03	71.67	4330.66	7.00	0.00	0.00
foo	14792.10	61.33	4714.66	7.00	0.00	0.00
fot	18675.10	76.33	7302.03	8.50	0.00	0.00
fou	14427.08	54.67	7344.86	4.50	0.00	0.00
fow	14102.10	63.00	5704.34	9.00	0.00	0.00
foy	14702.43	68.00	4325.60	6.00	0.00	0.00
ger	10214.55	51.67	2734.05	3.50	0.00	0.00
