STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
ges	12070.77	52.67	723.25	3.50	0.00	0.00
gon	11830.24	71.33	638.92	6.00	0.00	0.00
gop	9991.21	68.67	631.69	7.00	0.00	0.00
gor	15084.47	61.00	4737.11	4.50	0.00	0.00
gou	11904.28	54.33	3653.12	3.50	0.00	0.00
gow	11579.31	62.67	2012.61	8.00	0.00	0.00
han	19692.36	77.33	5933.15	9.00	0.00	0.00
har	22946.60	67.00	4953.72	9.00	0.00	0.00
hed	24676.35	61.67	2345.68	8.00	0.00	0.00
hee	36951.83	63.67	2587.01	9.00	0.00	0.00
heg	11937.22	61.67	2072.94	7.50	0.00	0.00
het	18052.46	68.00	3334.60	10.00	0.00	0.00
hig	11847.62	60.67	4464.66	7.50	0.00	0.00
hin	13640.80	62.33	4364.75	8.50	0.00	0.00
hir	16895.03	52.00	4498.84	4.50	0.00	0.00
hix	11798.17	50.00	4405.94	5.00	0.00	0.00
hoo	19039.39	62.33	1179.06	7.50	0.00	0.00
hor	21854.55	62.33	4893.25	6.00	0.00	0.00
hou	18674.36	55.67	3809.26	5.00	0.00	0.00
ler	9988.91	52.33	2517.70	5.00	0.00	0.00
lew	6483.75	54.00	1166.71	8.50	0.00	0.00
lex	4892.05	50.33	380.28	6.00	0.00	0.00
lis	11755.54	52.33	3015.27	4.00	0.00	0.00
mas	18430.27	66.67	7685.28	7.50	0.00	0.00
max	11477.19	63.67	1147.14	8.00	0.00	0.00
mer	10612.08	51.67	2618.22	2.50	0.00	0.00
mes	12468.30	52.67	607.42	2.50	0.00	0.00
ned	19844.77	57.67	873.59	5.50	0.00	0.00
nen	8898.81	59.33	1050.64	8.00	0.00	0.00
ner	12153.04	49.00	2761.50	2.50	0.00	0.00
non	13768.73	68.67	3633.16	7.50	0.00	0.00
noo	14207.81	58.33	4017.16	7.50	0.00	0.00
nop	11929.71	66.00	3625.94	8.50	0.00	0.00
nou	13842.78	51.67	6647.36	5.00	0.00	0.00
noy	14118.13	65.00	3628.11	6.50	0.00	0.00
oll	5961.35	18.67	2158.72	1.50	0.00	0.00
ond	27426.79	31.00	16115.86	1.50	0.00	0.00
ony	16830.23	29.00	2290.59	1.00	0.00	0.00
oub	7071.74	46.67	1914.59	5.00	0.00	0.00
oum	7978.87	45.00	1922.42	4.00	0.00	0.00
oun	8976.23	52.00	2144.95	6.00	0.00	0.00
owo	6498.91	20.00	1141.43	2.00	0.00	0.00
pas	17764.23	71.67	6719.66	7.50	0.00	0.00
san	14983.40	82.33	2329.00	9.00	0.00	0.00
sas	20093.85	73.00	7318.48	6.00	0.00	0.00
ser	12275.66	58.00	3073.37	4.50	0.00	0.00
ses	14131.88	59.00	1062.57	4.50	0.00	0.00
sho	29009.22	32.00	4521.72	2.50	0.00	0.00
sid	19877.79	65.67	905.81	8.50	0.00	0.00
spe	28102.09	41.67	7.56	1.50	0.00	0.00
ter	31163.90	54.67	2366.53	4.00	0.00	0.00
tho	47897.47	28.67	33105.63	2.00	0.00	0.00
tis	32930.53	54.67	2998.17	5.00	0.00	0.00
tou	32853.64	57.33	3877.44	6.50	0.00	0.00
twn	24518.68	36.33	1133.51	1.00	0.00	0.00
usk	487.03	9.33	341.79	1.00	0.00	0.00
vas	17300.11	60.00	6629.49	3.50	0.00	0.00
waw	17957.24	64.33	6585.26	8.50	0.00	0.00
whe	55016.35	33.33	35534.15	2.00	0.00	0.00
wot	21438.18	73.00	3163.92	8.50	0.00	0.00
yed	19542.50	54.00	748.69	6.50	0.00	0.00
yor	16720.70	54.67	7419.02	4.00	0.00	0.00
yot	17788.53	69.67	6292.19	7.00	0.00	0.00
yow	13215.54	56.33	4694.51	7.50	0.00	0.00
