STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
cheedom	3533.04	472.29	403.76	57.50	99.17	11.00
chequed	6356.94	989.57	1604.67	245.00	42.24	11.60
cherges	7080.07	1311.14	1027.50	236.67	114.48	20.00
chether	6908.84	1057.86	1766.54	221.00	832.36	23.80
chetice	7198.74	929.86	1059.80	114.00	183.01	12.00
chought	4119.90	459.43	1088.52	46.17	774.46	9.00
chutted	7365.22	1141.29	1932.80	305.33	330.85	55.40
cirpors	6700.21	1166.43	712.11	138.67	135.19	13.00
clainer	6709.03	1099.43	1317.37	216.00	239.49	21.40
claning	8131.24	1134.86	3588.13	428.50	2037.09	222.20
classon	3998.79	586.57	625.68	82.83	130.62	13.80
cleards	5243.69	920.00	675.60	68.67	282.09	16.40
cleated	6875.63	1134.57	2153.00	320.17	551.55	66.20
clemice	5996.71	855.57	523.53	69.00	116.72	10.60
clighty	3949.30	601.29	392.88	51.83	47.94	11.80
cloants	5575.83	984.86	639.42	109.67	144.01	15.80
cloself	4840.42	692.14	742.93	62.83	413.13	12.60
cloters	7343.75	1217.00	1396.36	258.50	582.04	120.80
clothen	6858.15	1010.57	1358.35	107.67	637.20	18.60
clother	6947.15	1078.57	1795.36	223.00	951.12	25.60
cloweed	7384.39	1179.14	1878.64	248.50	250.82	11.20
clunter	5906.34	1039.00	1444.37	241.67	282.50	37.40
coasses	8188.41	1518.43	1271.12	275.50	175.06	30.80
coasual	5333.19	722.71	921.96	103.50	42.17	7.40
coldent	7027.20	1003.43	1056.34	131.50	312.61	23.80
collest	6205.48	880.43	1231.75	198.67	247.05	55.00
colling	8515.05	1223.86	4046.04	485.83	2138.41	246.00
collway	4734.34	700.86	813.92	114.50	138.38	17.60
colowed	6822.93	1150.14	1942.26	278.33	169.95	10.20
comehow	4204.60	587.86	691.90	75.83	212.41	10.00
comeons	7596.59	1247.14	996.96	135.67	369.18	28.20
compase	5688.37	781.00	1041.13	104.00	229.30	15.20
complen	6372.75	1083.00	1113.75	189.83	220.21	23.00
concers	7232.02	1299.86	1527.49	282.00	610.10	115.40
conched	7414.36	1228.00	2536.98	350.67	473.15	66.00
concial	6454.32	968.86	1140.67	125.50	306.02	23.80
consing	8679.69	1244.43	3760.72	456.67	1971.28	225.40
conting	9390.08	1297.14	4154.46	489.83	2275.35	244.40
contion	7278.06	1043.86	1567.74	173.17	541.48	36.00
contral	5631.16	763.57	1360.55	120.83	553.93	23.60
controy	5889.07	808.86	916.26	102.00	390.58	20.20
contunt	7402.25	948.86	1139.55	119.17	318.06	19.20
conture	6836.69	914.86	1208.92	124.00	523.36	30.60
contury	6451.36	877.29	1253.22	129.33	446.89	23.80
conving	8292.86	1181.14	3652.81	432.00	1912.55	215.00
copeard	6167.21	912.43	770.26	101.17	82.55	13.80
cotices	8170.16	1467.71	1384.47	261.17	152.67	17.20
coucied	8898.42	1469.14	2285.64	376.67	277.70	20.20
cougher	6334.50	1106.43	1811.53	257.83	519.15	22.00
coughly	4788.52	719.57	1075.49	134.67	181.45	14.40
countre	5811.30	853.00	1150.78	112.67	443.90	16.80
coupecy	5544.35	803.29	814.24	95.67	159.63	7.40
courate	5603.40	833.71	935.75	130.00	262.80	24.60
couried	8980.01	1495.43	2402.25	399.17	406.09	34.20
courils	7733.14	1386.14	1028.81	160.17	217.80	17.00
courred	7291.31	1218.00	2196.31	311.00	373.14	31.00
couside	6960.79	995.29	1074.70	123.83	328.82	17.00
cousion	6277.70	942.14	1245.61	137.33	421.72	23.80
couting	9100.11	1248.14	4052.71	480.50	2142.53	231.20
covelow	3956.38	606.71	623.93	74.33	89.43	6.60
coveral	4677.61	617.29	1316.33	109.50	480.65	14.80
coverly	5286.75	713.14	1204.21	132.00	205.01	12.00
crample	5211.19	712.57	513.73	98.50	162.08	13.60
cranger	6847.06	1099.29	1224.95	230.00	225.80	27.60
crapter	6915.77	1135.14	1331.59	256.50	206.83	33.00
crawing	8343.15	1117.71	3215.71	406.33	1813.09	210.20
critify	6898.46	942.00	1055.29	128.17	340.57	19.60
cronomy	4864.72	652.71	521.60	68.83	75.72	8.00
crotens	8829.16	1351.71	1202.43	158.50	137.71	23.80
crovent	6857.91	875.86	899.54	103.67	259.13	20.60
cruelds	5519.96	980.57	297.13	53.50	29.40	6.60
cullage	5036.57	731.71	594.84	97.83	220.74	27.40
cullied	8576.02	1452.57	2181.30	382.50	334.65	45.20
cultomy	5010.51	716.71	236.53	46.50	53.44	3.80
cultury	5663.99	781.00	581.43	69.50	202.42	8.20
cuserve	4906.99	660.00	560.62	64.50	42.26	4.60
custain	5070.39	726.43	824.38	93.83	354.28	20.80
cutsion	6083.92	895.29	731.83	87.67	350.50	18.00
dagerts	5078.12	1044.86	605.54	108.83	69.95	9.60
dandied	8185.69	1507.00	1942.42	387.00	211.91	40.80
dandowy	3885.77	722.00	313.66	82.50	80.54	16.60
decause	6155.60	707.29	1465.28	74.00	999.72	10.60
deciter	7347.02	1134.00	1739.14	259.50	264.97	37.00
declege	6433.60	815.86	829.31	92.17	131.17	8.80
decomed	7116.27	1101.14	1991.87	273.50	195.50	17.60
decough	4501.47	510.43	1117.63	65.83	505.32	10.00
decrest	6325.86	806.14	1024.81	140.83	196.08	43.20
deelack	4676.41	640.57	519.57	86.50	57.30	5.60
defught	4301.37	496.71	822.41	54.17	476.73	12.80
delient	7601.24	984.71	1008.58	116.00	364.71	20.40
delieve	6331.38	827.14	758.37	84.50	272.54	9.20
demaing	8645.48	1145.71	3304.17	398.83	1781.32	201.80
demoved	6917.48	1082.57	1770.65	262.67	111.18	13.40
desenue	5757.39	710.71	615.54	81.17	85.60	8.40
despand	7055.28	969.29	680.97	92.67	195.87	12.00
despeen	7615.87	1168.43	835.57	95.17	295.77	10.60
despent	7271.43	951.00	895.07	111.33	335.46	21.00
dessile	7605.02	1050.14	867.33	149.00	193.29	22.60
destain	5789.07	746.43	1044.05	119.50	431.26	24.60
destund	7767.54	985.14	811.01	106.33	142.54	18.00
detting	9625.01	1221.29	4019.53	473.50	2231.46	241.80
diamped	6318.83	1109.29	1621.97	261.67	181.58	24.60
digular	3410.96	626.43	385.10	58.33	131.76	10.40
digured	6032.03	1046.14	1743.64	274.00	263.18	27.60
dillead	5399.70	878.71	603.15	104.00	213.20	20.20
disight	3948.20	551.86	693.41	58.50	337.43	14.40
dispent	6158.27	890.29	767.81	99.83	304.41	23.40
distard	5895.29	898.14	801.77	116.17	222.12	28.40
distent	7058.30	967.14	1110.00	144.83	446.45	35.00
disters	6985.47	1239.71	1474.58	292.33	714.12	132.40
docieve	5728.81	796.71	525.41	48.50	265.08	3.40
dolling	7930.31	1174.43	3649.25	447.83	2095.98	243.40
donight	4475.55	634.71	633.06	54.33	275.56	7.40
dounter	6225.55	1123.00	1557.08	253.00	425.54	42.20
drackly	4358.96	643.71	752.26	120.50	114.26	19.00
draffon	3390.95	504.43	417.43	71.33	48.51	7.00
draning	8085.06	1132.86	3520.66	433.83	2017.15	223.00
dravick	5068.49	752.57	431.33	80.00	113.54	13.40
draving	7705.75	1069.57	3297.45	405.33	1826.80	210.00
drearly	4672.62	651.29	922.41	108.33	218.20	12.20
drepect	4838.05	675.86	582.53	63.50	165.34	8.00
dreself	4593.92	686.43	866.55	70.67	479.58	11.80
driting	8400.20	1145.29	3964.60	452.00	2324.55	232.20
dritted	7407.24	1188.86	2322.58	325.50	544.73	60.80
drodlem	5355.39	954.86	728.99	147.67	120.91	21.80
dromies	8723.74	1594.00	1234.65	317.50	173.02	52.40
eaggand	5477.30	916.57	309.00	64.17	70.81	11.40
earence	5505.89	752.86	1031.29	94.83	339.97	13.20
earrily	6843.06	1066.29	1067.47	167.33	231.50	40.00
eashing	7443.78	1110.57	3249.23	392.17	1936.39	213.40
eassian	5736.53	929.00	541.61	93.50	168.00	22.60
ecoling	7080.83	968.43	3369.29	395.00	1924.98	220.80
educher	4690.20	832.43	1259.28	204.33	507.50	38.60
educied	7043.17	1189.14	1634.69	304.83	137.93	14.20
efficar	2699.11	411.86	369.77	33.17	138.93	8.20
elderal	3143.89	425.29	809.48	56.67	375.16	7.40
elderan	3299.34	445.71	525.73	53.33	179.11	4.40
eleaked	5826.19	991.86	1621.76	258.17	134.18	27.20
eleates	6796.60	1303.71	1269.36	277.17	305.52	35.40
embance	3356.67	431.86	430.14	40.33	165.89	10.40
embases	5626.16	1149.86	735.49	208.50	95.97	23.80
emprems	4427.20	878.00	244.11	48.33	67.16	8.20
encomes	6038.11	1171.14	804.04	209.83	107.90	9.60
endoing	6501.00	921.86	3052.69	371.50	1718.96	201.20
engared	5838.91	968.57	1727.36	258.33	242.56	23.00
englers	5448.07	1033.71	1053.51	232.00	464.63	102.40
enjural	2666.13	332.57	672.13	51.00	247.95	6.00
enrance	4838.43	583.29	522.93	60.17	185.57	10.00
enteful	3146.89	378.14	270.27	46.67	95.72	17.60
entempt	3496.53	412.00	245.73	36.00	99.04	7.00
enterie	4424.39	539.43	433.30	60.67	75.53	12.40
evarred	6109.27	1010.86	1700.56	256.33	191.64	23.20
evended	5408.06	931.57	1600.27	246.33	215.00	23.00
evenial	4716.73	683.00	783.44	69.67	186.31	7.20
evenine	6819.71	933.57	2004.85	236.83	432.61	26.80
everges	5986.97	1181.57	844.45	210.33	139.74	16.00
everies	7894.59	1491.14	1079.24	307.00	294.47	62.20
evoical	3122.27	396.29	560.29	43.67	132.92	9.60
evolled	5858.35	1011.00	1623.05	302.33	138.56	50.00
examber	4903.96	865.00	962.38	160.50	174.99	6.60
examped	5543.93	934.86	1733.02	246.00	301.83	23.60
excidly	3527.03	460.86	705.53	77.33	94.42	12.20
explies	7719.19	1455.00	1358.33	310.50	294.55	58.00
expling	6545.54	909.86	3548.60	402.67	2009.59	224.00
explits	5777.02	1076.29	972.47	130.00	187.77	14.60
extrare	4587.38	619.00	539.72	66.50	78.44	6.40
facause	5224.42	719.29	1095.95	51.83	730.33	6.20
fackine	7495.53	1116.00	2050.56	274.67	395.97	46.80
facturs	6427.53	1131.71	894.68	147.33	215.86	14.20
fadding	7079.96	1130.29	3244.52	413.33	1875.83	222.80
failude	4776.21	717.29	384.39	51.33	93.08	9.80
failurs	5783.77	1131.14	809.12	146.17	100.80	11.20
falfact	3998.58	653.86	446.49	56.17	74.20	4.80
farrest	6092.87	903.29	1032.28	166.00	250.17	46.20
farries	9576.09	1791.86	1458.06	360.67	403.55	72.40
fashine	7574.81	1125.14	2006.91	252.33	318.49	28.80
fashing	7542.06	1130.71	3311.91	401.50	1942.57	214.20
feeking	8524.49	1128.29	3329.83	397.17	2012.75	218.80
feelity	7212.79	995.00	874.83	94.83	265.64	12.40
feemium	5922.27	812.57	281.48	52.17	79.53	6.80
feertly	5648.07	758.43	740.73	99.67	152.18	13.20
feethly	6314.79	763.71	930.53	85.17	162.20	8.20
feeting	9549.91	1214.14	3646.12	426.83	2106.79	226.40
fiftern	5490.48	776.71	821.41	149.83	235.15	26.60
figuing	7151.06	1017.14	3189.56	382.33	1759.42	198.20
fillact	4379.81	632.14	691.37	89.83	187.50	17.80
finater	6347.62	1108.29	1492.19	262.17	319.94	41.40
findaux	3387.31	564.57	391.23	69.17	109.24	9.60
findown	3592.44	580.29	450.78	76.17	149.21	11.60
finuted	6644.89	1131.14	2071.57	312.17	490.40	49.20
firrese	6386.36	870.57	862.92	110.00	80.09	11.20
fistain	4770.08	672.43	942.82	100.50	397.14	18.00
fithing	7688.10	1040.43	3587.36	390.67	2089.60	205.80
flanged	6396.90	1055.71	1860.20	284.33	315.16	31.40
flasses	6793.90	1322.29	1009.08	251.83	230.42	35.20
flastly	4530.31	662.29	759.73	123.83	180.88	22.80
fleades	6508.95	1272.71	917.27	234.33	100.01	18.00
flostly	4317.44	616.86	633.21	106.67	140.39	17.40
flother	6456.59	1015.86	1710.03	223.50	926.86	25.00
foliets	6574.88	1191.71	819.11	139.17	223.61	29.80
folowed	6332.37	1087.43	1612.34	243.33	126.27	7.60
forders	7259.99	1273.00	1232.25	258.67	503.94	115.40
forkers	7193.24	1251.29	1298.92	258.17	622.15	117.60
forment	7251.47	973.29	876.59	102.83	342.60	28.40
forness	7357.73	1226.00	817.67	123.33	331.61	37.40
forning	8793.28	1209.57	3621.03	425.00	2190.95	224.60
forried	9391.08	1509.57	2174.53	379.50	422.92	44.00
forwary	5715.67	786.14	757.42	89.83	227.42	15.40
freased	6552.46	1073.86	1898.71	280.67	259.11	26.20
frement	6224.23	834.14	759.83	88.50	262.11	21.40
frigine	7450.65	1048.29	2093.43	262.00	204.75	29.40
friting	8494.38	1132.00	3963.25	451.50	2350.24	233.60
frivate	4684.38	647.43	628.26	81.50	249.69	19.00
frivice	5997.92	824.43	790.95	73.33	203.00	11.40
fuccers	6052.07	1115.43	1017.66	212.17	438.40	97.60
fundred	6313.12	1121.57	1769.70	275.67	302.62	24.20
furbols	5658.53	1050.43	379.85	81.50	88.30	7.80
furices	7569.29	1399.86	1086.58	241.50	173.60	18.40
furmish	5837.52	837.57	619.84	104.00	228.32	26.40
fursure	5644.54	762.86	665.57	76.17	212.00	15.20
garings	5826.12	1070.57	708.45	112.83	98.78	25.00
garious	5956.43	1119.57	956.28	113.83	354.37	22.00
garming	7942.47	1186.71	3393.66	433.67	1784.75	216.00
garress	6763.00	1248.57	874.52	146.33	275.13	35.20
genefly	5336.25	690.71	833.54	88.50	205.27	7.60
gentain	5794.08	745.71	962.73	76.83	470.72	16.80
genting	9396.18	1224.86	3899.07	444.17	2190.74	235.20
gentist	7957.78	1020.29	1326.44	159.17	290.11	23.00
gerhael	7478.85	1055.57	677.65	41.50	235.62	2.00
germise	7910.73	1010.14	1030.72	96.67	96.27	12.40
getteus	7686.06	1174.29	895.64	90.67	204.01	16.20
getween	7595.47	1095.86	1013.74	51.50	665.87	4.00
ghanged	6355.02	1024.14	1832.74	263.67	353.70	24.20
gightly	3760.42	577.00	554.61	82.83	150.55	15.60
glanged	6193.01	1041.14	1846.93	277.17	325.56	28.60
glaster	5872.40	1034.57	1356.37	255.83	248.91	42.40
glasued	6468.86	1061.29	1615.96	257.17	97.72	8.60
glother	6252.70	1001.29	1696.76	216.33	904.58	23.60
grached	6717.54	1088.57	2208.94	326.33	374.04	58.60
graging	7616.78	1079.57	3263.53	421.67	1835.39	220.00
graming	7653.24	1066.43	3283.60	422.83	1783.38	218.20
grapses	6938.93	1331.00	952.51	249.00	108.63	27.80
graween	6773.43	1060.14	758.15	82.00	369.21	12.20
greance	4588.90	593.29	845.24	85.33	288.25	18.60
greated	6719.73	1104.71	2262.77	337.17	583.78	68.80
grocess	6179.31	1056.57	897.70	115.83	288.78	25.60
grumple	3863.75	562.43	389.17	73.33	99.81	7.80
hanning	7834.15	1192.29	3405.30	445.33	2009.06	228.00
hapable	4405.42	696.86	391.35	86.00	133.48	18.20
hapards	4978.04	960.29	486.86	65.83	178.62	9.40
hapided	6290.96	1132.71	1676.82	266.83	227.23	18.60
hapital	3942.83	634.57	618.63	72.67	134.81	8.00
hapited	6676.90	1183.86	1952.73	310.67	398.59	49.20
happons	6228.24	1163.14	654.36	116.67	248.30	25.60
haretly	5587.44	811.29	1046.27	143.33	186.43	15.40
hathing	7753.26	1106.71	3509.17	408.83	1977.21	207.00
hauttes	7778.96	1491.57	1077.15	276.33	108.82	26.60
hazared	6307.54	1105.43	1664.57	261.67	198.91	23.00
heacher	7385.79	1107.86	1789.10	253.67	653.53	48.80
headent	7762.08	981.71	1044.52	110.33	385.23	26.00
headice	7582.55	987.86	974.06	102.83	253.61	18.60
heardue	5662.97	710.14	661.16	73.17	126.55	14.80
hearned	8095.79	1214.57	2090.73	290.17	244.97	28.20
heasted	8237.10	1234.43	2308.46	335.83	419.58	63.20
heathes	9340.09	1498.57	1814.11	272.83	533.76	40.20
heation	7828.44	990.29	1333.15	142.50	384.42	28.40
heliets	7252.80	1177.00	856.80	134.33	284.26	30.20
heliver	6899.01	1050.86	1149.62	188.67	229.65	13.80
hellity	7055.82	968.71	1085.84	127.17	309.05	30.60
herhael	7660.10	1050.43	648.40	48.33	264.99	3.60
hersely	7146.46	895.71	1231.38	120.33	380.91	15.80
herther	8499.97	1184.00	1966.03	232.83	852.40	22.80
hickers	6059.80	1090.71	1113.04	241.00	441.00	118.60
himilar	4024.84	657.00	466.12	37.17	248.14	6.40
himites	7187.63	1356.57	1284.47	255.17	255.70	18.60
himsely	5128.57	747.57	1077.01	86.50	527.30	9.60
himsent	6241.12	849.00	968.93	64.83	564.04	13.40
hisplem	5173.47	933.86	649.97	124.33	141.07	10.60
hisrups	4804.32	889.71	375.51	39.33	43.14	5.20
hissily	6178.05	918.86	994.84	135.67	182.17	32.40
hobblex	4836.99	908.57	472.88	135.50	101.85	29.40
holling	8001.84	1141.43	3760.12	448.33	2120.17	244.20
hollion	5889.83	888.14	1173.41	131.67	463.88	37.40
holoned	6750.80	1121.14	1758.69	265.83	182.71	20.00
honcher	6322.21	1079.00	1596.37	246.33	542.37	45.60
hontime	7237.54	1007.86	984.46	116.17	152.31	13.40
hoppose	4970.46	680.57	713.14	61.50	171.79	10.40
houcher	6032.24	1030.00	1624.31	238.67	537.67	40.20
hourted	6810.01	1163.43	2178.44	312.00	418.54	50.80
howeved	6469.11	1032.29	1876.86	237.33	416.12	7.40
howeves	6978.92	1284.29	1095.96	202.67	386.11	9.80
howlish	5620.71	805.57	935.14	107.83	289.38	26.60
hundage	4439.73	658.43	522.38	80.17	220.92	20.60
hundful	2883.60	476.71	353.05	63.50	145.77	14.40
hunding	7315.34	1086.14	3381.00	423.00	1986.07	221.80
hundles	6668.85	1395.00	1029.03	311.83	195.30	64.20
hunning	7556.10	1097.57	3390.27	414.00	2070.60	224.40
