STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
abasses	6634.56	1255.29	854.72	220.00	169.19	28.20
abilier	7190.84	1202.71	1346.31	277.33	187.15	72.60
abseady	3997.31	489.00	349.24	29.00	186.83	4.20
abseume	3984.47	458.86	127.79	24.33	32.45	4.20
acalize	5875.53	810.57	563.26	66.33	107.59	10.20
accools	4788.78	857.43	285.70	51.83	106.87	6.20
accough	2902.28	306.86	670.31	25.17	468.12	5.20
acquing	6414.17	844.14	3047.62	361.00	1742.94	199.80
acquiry	5114.74	713.71	358.66	40.33	57.12	4.80
actobed	5687.04	920.57	1419.05	218.33	59.83	6.00
actoble	3947.45	504.71	299.25	54.50	100.01	11.40
advally	3476.58	496.29	636.40	78.00	265.10	13.00
advalry	3638.24	526.14	393.53	43.00	37.83	4.20
advived	5410.22	869.86	1586.57	230.67	110.57	11.20
affause	4059.31	452.29	829.30	28.83	497.00	6.60
affered	5839.82	904.43	1870.73	256.17	330.52	31.80
afferes	6349.64	1156.43	1089.84	221.50	193.72	22.20
afferia	2486.49	323.29	414.30	44.33	84.80	9.20
affical	2740.16	341.14	627.34	47.00	184.23	12.00
afrived	6545.91	988.14	1648.05	233.33	142.51	11.20
agaings	5080.14	846.43	545.40	44.00	412.96	18.00
agaised	6371.94	1013.57	1802.78	244.67	367.63	18.40
agaital	4009.03	509.71	759.65	41.83	300.65	5.60
alcorty	3880.13	507.57	424.16	39.50	59.83	5.40
algered	6212.73	992.14	1839.02	257.83	268.75	29.80
allough	3080.37	381.71	709.69	25.33	448.85	3.80
almoths	4304.39	805.71	153.34	28.50	6.98	5.40
alreard	5953.34	808.00	626.91	53.33	302.43	13.20
alreary	5585.10	715.86	794.75	65.33	284.01	9.20
alreety	5818.31	758.14	650.12	54.83	257.69	4.20
alrefly	4734.52	592.29	744.42	70.67	179.58	3.60
alreish	6305.26	805.71	656.80	61.67	315.91	18.80
alreive	6717.65	858.29	527.38	33.00	224.66	6.20
alrests	5539.57	946.14	649.33	90.00	201.88	13.40
alretly	5218.16	664.86	803.97	81.33	252.84	9.60
amerary	4311.10	617.00	505.33	76.00	87.97	7.20
amought	3367.92	359.71	796.70	22.67	631.29	7.20
amulion	4803.65	703.29	748.63	80.17	245.12	12.80
analine	7908.67	1065.29	2321.55	262.50	356.87	39.00
anclent	6206.67	792.00	807.91	83.17	266.68	14.00
anclure	4872.98	607.43	629.28	48.33	173.83	10.40
angaged	5905.48	954.14	1740.48	244.50	174.08	19.80
anglize	5322.43	755.57	688.38	62.00	120.41	7.20
aniffit	3016.83	420.14	342.28	34.17	70.50	5.60
animany	5319.55	709.14	570.74	53.50	194.15	6.40
anothed	7243.39	1069.86	2583.93	277.00	931.91	28.20
anothes	7753.21	1321.86	1803.04	242.33	882.52	32.00
anxiout	3675.76	458.86	687.90	39.00	265.09	8.00
appects	4299.29	795.00	421.76	78.00	136.52	11.80
apperal	3321.12	399.71	847.76	58.50	391.25	10.80
applage	3972.31	515.86	421.99	54.33	210.69	19.20
appords	4032.70	735.43	362.18	39.33	138.44	10.00
archaps	5143.39	846.57	345.97	28.67	205.19	6.80
arright	5003.21	560.86	634.04	34.33	324.64	7.40
arrious	6306.95	1015.43	693.69	62.33	371.52	18.20
artican	4412.99	535.71	382.57	51.67	145.92	9.20
artices	7501.42	1316.57	872.91	207.50	151.55	17.40
artions	7297.96	1137.43	600.04	87.67	218.58	25.40
aspeade	4142.01	491.71	367.91	36.33	118.99	6.80
aspeate	4309.70	551.71	355.43	57.17	112.57	16.80
assuing	6898.85	920.00	3058.97	364.83	1756.74	201.60
asycher	4677.02	800.43	1271.11	205.00	495.93	37.20
athwary	3632.50	477.14	398.88	48.33	75.87	7.20
attally	4307.61	584.14	670.81	80.67	285.92	14.00
avended	5693.56	949.29	1583.84	246.83	199.16	24.20
avening	7072.46	956.86	3293.42	386.50	2040.85	213.40
avering	7006.43	963.71	3253.08	399.67	1829.00	216.00
awfutly	3318.14	448.00	507.44	64.83	87.74	8.00
bagious	5320.87	1066.71	555.93	70.67	237.50	17.00
ballial	5888.45	966.14	1141.83	145.33	262.42	32.60
bapidly	4447.68	729.86	628.81	98.67	85.94	11.40
baticed	7103.97	1214.14	1780.15	279.67	164.31	17.40
becange	6056.54	690.00	1278.03	78.67	552.84	5.60
becauss	7001.52	1031.43	1528.79	64.17	972.43	3.60
becerts	6856.94	1050.29	1358.07	125.33	328.77	10.40
beciety	6754.37	858.00	1327.12	90.00	515.85	6.80
becless	7646.48	1188.00	1245.17	118.17	441.31	25.80
becohow	4457.67	536.43	895.02	49.17	316.77	4.00
becored	7866.85	1150.14	2380.99	278.67	485.97	24.60
becount	6903.87	786.14	1304.15	74.00	369.28	7.60
bectime	8133.22	1006.14	1369.10	107.33	335.22	9.80
becting	9772.56	1213.00	4253.18	443.50	2309.81	228.00
bectome	6565.70	766.43	1028.22	65.00	341.94	8.40
beleady	5950.38	720.57	926.98	60.33	240.23	7.40
belease	6707.54	807.00	1118.54	73.17	132.63	8.60
belfact	5282.96	659.43	864.49	57.83	143.85	6.80
belibit	5205.52	664.29	753.97	62.50	147.92	9.40
belivan	5181.00	639.14	799.55	72.00	156.03	8.80
belowed	7291.92	1123.29	2020.56	248.17	166.34	9.40
belpful	4342.81	552.14	710.88	57.33	137.46	14.20
beneady	6134.88	752.43	1045.07	67.17	290.71	5.80
bentrol	5902.91	719.14	1035.02	71.33	299.58	10.20
benuors	7021.13	1153.14	1273.82	162.50	81.60	11.20
besters	8451.82	1318.00	1862.25	291.67	657.06	131.40
betacle	6322.82	764.00	938.08	85.83	195.72	9.60
beticer	7550.39	1122.29	1644.40	204.17	250.83	11.40
betiets	7838.06	1228.00	1331.63	140.00	303.45	28.00
bettest	7668.62	895.43	1507.98	164.50	406.37	49.80
bettish	7947.41	969.86	1627.64	157.17	596.01	41.60
betture	7424.81	856.57	1334.41	95.50	484.24	21.00
betweed	8726.30	1275.86	2446.72	250.17	612.45	6.00
betwers	7641.10	1196.43	1779.10	231.67	834.29	98.20
billers	6578.34	1211.14	1223.02	266.67	522.19	115.40
bisital	4403.71	638.29	658.41	69.83	95.71	7.40
bizends	4974.44	880.14	456.37	51.00	132.70	10.60
blainst	4954.18	636.43	773.91	97.67	400.15	8.60
blaning	7899.69	1103.00	3487.80	427.33	2010.26	221.60
blegage	4252.32	600.71	361.03	57.33	136.43	16.60
blossed	6330.22	1055.71	1648.45	267.67	222.73	25.60
bloters	7112.20	1185.14	1296.04	257.33	541.92	120.60
bomptes	7482.31	1424.43	1206.01	277.00	159.90	17.00
bothing	8359.72	1127.00	3488.71	392.50	2092.34	206.00
boweved	6750.75	1082.86	1769.68	242.33	330.60	8.20
breater	6603.68	1083.57	1699.01	269.17	394.53	50.80
breence	5160.76	634.43	920.89	86.17	236.51	15.40
brieful	3863.24	501.71	680.79	67.17	253.14	18.60
briends	5634.21	941.29	999.30	87.33	377.43	17.20
brienus	5612.33	954.57	887.75	82.33	251.67	8.40
brigges	6942.94	1320.29	1191.01	243.17	199.10	22.20
brimain	4111.26	592.43	913.21	78.83	344.17	15.00
brintre	5464.57	767.71	950.22	91.33	271.33	15.00
bristal	4315.96	604.43	947.08	93.83	190.41	16.40
brithed	7643.20	1165.86	2762.09	306.17	800.99	34.40
brither	7064.25	1099.29	2107.40	239.33	1018.66	26.80
britied	9417.22	1456.00	2677.57	400.33	583.18	34.60
brities	9927.04	1708.00	1896.68	365.67	593.62	65.20
briting	8753.38	1162.86	4086.95	457.83	2438.81	234.60
brition	6641.36	909.57	1500.24	141.17	704.94	26.20
britort	5890.46	777.00	1000.44	90.83	450.78	16.40
britted	7760.42	1206.43	2444.93	331.33	658.99	63.20
brittes	8270.24	1458.43	1664.04	296.67	435.99	33.60
briumes	6991.89	1308.00	1117.99	230.83	199.07	10.60
brivate	4943.39	678.29	751.97	87.83	338.26	20.00
briving	7656.16	1046.86	3600.94	405.17	1957.48	208.00
brobler	6108.78	1056.43	1507.41	282.17	270.10	36.80
brobles	7197.54	1375.00	1381.20	314.33	320.07	63.20
broplue	4772.30	657.71	660.80	67.50	111.39	9.40
brotore	6461.66	825.14	1135.17	103.67	208.99	16.00
buicked	6196.82	1096.00	1575.27	272.00	192.64	34.60
burtain	5565.23	749.57	801.71	94.33	408.16	17.00
cabbutz	3253.12	585.86	195.95	59.00	24.81	5.60
cabrare	5352.87	878.14	525.28	89.50	67.27	5.40
candres	7591.56	1531.00	1086.44	283.67	147.10	24.60
capited	7190.10	1266.29	2014.63	321.17	427.66	51.40
caporty	4467.38	727.43	502.43	74.00	108.91	7.40
cappine	7816.24	1178.71	2001.43	273.50	223.94	40.40
carkets	7011.84	1297.00	993.45	184.83	189.21	39.40
carking	8651.52	1269.43	3689.58	462.33	2065.09	232.20
cassons	7198.11	1308.86	679.68	139.33	208.20	31.80
ceising	9340.49	1233.00	3311.22	391.83	1799.10	208.40
ceneady	6366.44	784.29	688.59	49.67	329.84	6.60
cenefic	4823.95	632.43	535.85	53.00	213.88	6.00
cenered	8607.37	1266.14	2147.24	281.83	491.95	33.60
centear	7393.69	995.57	874.35	87.50	257.04	14.00
centing	10090.64	1302.14	3883.87	443.17	2188.20	235.40
centure	7537.25	919.86	938.33	77.33	436.21	21.60
cergers	8333.29	1326.71	1329.86	236.33	476.06	104.80
cerhapo	5477.57	650.00	682.15	35.83	325.62	2.00
cerving	9605.08	1214.00	3545.39	389.17	1915.49	205.60
cervive	7986.68	997.57	763.67	56.33	217.59	11.00
chadows	5294.47	958.71	508.35	68.33	222.57	20.80
chaking	7985.76	1084.71	3472.82	417.50	2103.37	230.60
chammes	7058.72	1315.57	992.95	233.17	212.03	22.20
chancil	3974.98	542.00	558.85	69.67	296.87	17.20
chaning	8293.26	1117.86	3642.59	429.17	2197.07	225.60
chanked	6839.70	1101.57	1858.42	285.83	300.43	36.60
chantor	4613.43	683.00	637.47	77.67	263.47	19.00
chapted	7118.18	1137.29	2106.64	311.00	513.02	53.80
charten	6566.33	1033.71	1160.36	147.00	331.22	25.60
